Layout,Layout CG Penalty,Component Name,Layer Placement,Mass (kg),Dimensions (mm),CoG X (mm),CoG Y (mm)
4,56.4912,LD4,FRONT,0.04,Ø 32.0,324.36,17.58
4,56.4912,LD5,FRONT,0.04,Ø 32.0,-268.95,72.33
4,56.4912,RS,FRONT,1.5,110.0 x 90.5,40.84,-160.95
4,56.4912,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
4,56.4912,PB0,BACK,0.1,69.0 x 16.0,-212.57,-15.94
4,56.4912,PB1,BACK,0.1,69.0 x 16.0,-405.5,-41.85
4,56.4912,PB2,BACK,0.1,69.0 x 16.0,-163.1,-136.87
4,56.4912,PB3,BACK,0.1,69.0 x 16.0,-63.49,-33.3
4,56.4912,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
4,56.4912,MES,BACK,0.125,128.0 x 117.0,331.0,-136.65
4,56.4912,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.7
5,60.4573,PDS,FRONT,1.5,100.0 x 112.0,59.8,102.38
5,60.4573,CCRR0,FRONT,0.15,Ø 45.0,-248.02,210.69
5,60.4573,CCRR1,FRONT,0.15,Ø 45.0,338.18,12.05
5,60.4573,LD0,FRONT,0.04,Ø 32.0,137.6,-183.65
5,60.4573,LD1,FRONT,0.04,Ø 32.0,-213.29,-235.2
5,60.4573,LD2,FRONT,0.04,Ø 32.0,-383.72,78.33
5,60.4573,LD3,FRONT,0.04,Ø 32.0,373.28,127.55
5,60.4573,LD4,FRONT,0.04,Ø 32.0,181.41,179.53
5,60.4573,LD5,FRONT,0.04,Ø 32.0,-385.23,151.23
5,60.4573,RS,FRONT,1.5,110.0 x 90.5,-92.67,-159.06
5,60.4573,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
5,60.4573,PB0,BACK,0.1,69.0 x 16.0,-166.21,80.94
5,60.4573,PB1,BACK,0.1,69.0 x 16.0,-405.5,-14.56
5,60.4573,PB2,BACK,0.1,69.0 x 16.0,-247.13,-55.72
5,60.4573,PB3,BACK,0.1,69.0 x 16.0,-31.99,-54.52
5,60.4573,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
5,60.4573,MES,BACK,0.125,128.0 x 117.0,331.0,-147.7
5,60.4573,MT20,BACK,0.4,275.0 x 25.0,-302.5,190.23
