Layout,Layout CG Penalty,Component Name,Layer Placement,Mass (kg),Dimensions (mm),CoG X (mm),CoG Y (mm)
2,18.6801,LD4,FRONT,0.04,Ø 32.0,347.99,19.59
2,18.6801,LD5,FRONT,0.04,Ø 32.0,-326.16,120.65
2,18.6801,RS,FRONT,1.5,110.0 x 90.5,-2.41,-160.95
2,18.6801,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
2,18.6801,PB0,BACK,0.1,69.0 x 16.0,-259.13,7.99
2,18.6801,PB1,BACK,0.1,69.0 x 16.0,-405.5,-36.07
2,18.6801,PB2,BACK,0.1,69.0 x 16.0,-169.28,-148.15
2,18.6801,PB3,BACK,0.1,69.0 x 16.0,-39.49,-4.1
2,18.6801,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
2,18.6801,MES,BACK,0.125,128.0 x 117.0,331.0,-138.03
2,18.6801,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.7
3,44.3006,PDS,FRONT,1.5,100.0 x 112.0,-2.93,75.79
3,44.3006,CCRR0,FRONT,0.15,Ø 45.0,-258.93,228.7
3,44.3006,CCRR1,FRONT,0.15,Ø 45.0,213.72,10.35
3,44.3006,LD0,FRONT,0.04,Ø 32.0,309.74,-68.41
3,44.3006,LD1,FRONT,0.04,Ø 32.0,-215.26,-235.2
3,44.3006,LD2,FRONT,0.04,Ø 32.0,-332.45,32.14
3,44.3006,LD3,FRONT,0.04,Ø 32.0,424.0,109.53
3,44.3006,LD4,FRONT,0.04,Ø 32.0,334.12,78.6
3,44.3006,LD5,FRONT,0.04,Ø 32.0,-343.9,113.62
3,44.3006,RS,FRONT,1.5,110.0 x 90.5,17.04,-160.95
3,44.3006,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
3,44.3006,PB0,BACK,0.1,69.0 x 16.0,-196.34,71.49
3,44.3006,PB1,BACK,0.1,69.0 x 16.0,-405.5,-52.3
3,44.3006,PB2,BACK,0.1,69.0 x 16.0,-242.77,-120.35
3,44.3006,PB3,BACK,0.1,69.0 x 16.0,-56.18,-5.4
3,44.3006,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
3,44.3006,MES,BACK,0.125,128.0 x 117.0,331.0,-147.7
3,44.3006,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.7
4,75.8543,PDS,FRONT,1.5,100.0 x 112.0,14.35,88.72
4,75.8543,CCRR0,FRONT,0.15,Ø 45.0,-301.38,218.28
4,75.8543,CCRR1,FRONT,0.15,Ø 45.0,377.02,49.2
4,75.8543,LD0,FRONT,0.04,Ø 32.0,300.52,-165.37
4,75.8543,LD1,FRONT,0.04,Ø 32.0,-188.66,-235.2
4,75.8543,LD2,FRONT,0.04,Ø 32.0,-380.55,88.54
4,75.8543,LD3,FRONT,0.04,Ø 32.0,288.11,105.82
4,75.8543,LD4,FRONT,0.04,Ø 32.0,196.42,221.09
4,75.8543,LD5,FRONT,0.04,Ø 32.0,-268.67,81.47
4,75.8543,RS,FRONT,1.5,110.0 x 90.5,-36.87,-151.34
4,75.8543,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
4,75.8543,PB0,BACK,0.1,69.0 x 16.0,4.06,96.26
4,75.8543,PB1,BACK,0.1,69.0 x 16.0,-405.5,-50.84
4,75.8543,PB2,BACK,0.1,69.0 x 16.0,-249.44,0.77
4,75.8543,PB3,BACK,0.1,69.0 x 16.0,-57.97,-62.62
4,75.8543,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
4,75.8543,MES,BACK,0.125,128.0 x 117.0,331.0,-147.7
4,75.8543,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.7
5,80.6805,PDS,FRONT,1.5,100.0 x 112.0,62.39,93.2
5,80.6805,CCRR0,FRONT,0.15,Ø 45.0,-216.04,221.26
5,80.6805,CCRR1,FRONT,0.15,Ø 45.0,206.89,10.01
5,80.6805,LD0,FRONT,0.04,Ø 32.0,182.22,-110.57
5,80.6805,LD1,FRONT,0.04,Ø 32.0,-213.54,-235.2
5,80.6805,LD2,FRONT,0.04,Ø 32.0,-352.29,52.19
5,80.6805,LD3,FRONT,0.04,Ø 32.0,424.0,108.88
5,80.6805,LD4,FRONT,0.04,Ø 32.0,250.69,98.98
5,80.6805,LD5,FRONT,0.04,Ø 32.0,-381.47,153.07
5,80.6805,RS,FRONT,1.5,110.0 x 90.5,-45.39,-160.95
5,80.6805,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
5,80.6805,PB0,BACK,0.1,69.0 x 16.0,-172.61,73.52
5,80.6805,PB1,BACK,0.1,69.0 x 16.0,-405.5,-52.76
5,80.6805,PB2,BACK,0.1,69.0 x 16.0,-248.97,-89.98
5,80.6805,PB3,BACK,0.1,69.0 x 16.0,1.64,-22.79
5,80.6805,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
5,80.6805,MES,BACK,0.125,128.0 x 117.0,331.0,-140.27
5,80.6805,MT20,BACK,0.4,275.0 x 25.0,-302.5,191.1
